data;date;place;place2;latitude;longitude
"#gempa mag:2.5, 03-jan-2023 23:31:25wib, lok:2.52ls, 140.74bt (91 km baratlaut keerom-papua), kedlmn:11 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;keerom;papua;-2.52;140.74
#gempa (update) mag:3.8, 03-jan-23 22:55:49 wib, lok:2.43 ls, 140.70 bt (pusat gempa berada di laut 18 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) ii - iii kota jayapura #bmkg;2022-01-03;jayapura;;-2.43;140.70
#gempa dirasakan magnitudo: 3.8, kedalaman: 10 km, 03 jan 2023 22:55:49 wib, koordinat: 2.43 ls-140.70 bt (pusat gempa berada di laut 18 km timurlaut kota jayapura) #bmkg;2022-01-03;jayapura;;-2.43;140.70
#gempa (update) mag:4.7, 03-jan-23 22:46:19 wib, lok:2.90 ls, 134.11 bt (pusat gempa berada di darat 24 km baratdaya teluk wondama), kedlmn:9 km dirasakan (mmi) ii nabire #bmkg;2022-01-03;telukwondama;;-2.90;134.11
#gempa dirasakan magnitudo: 4.7, kedalaman: 9 km, 03 jan 2023 22:46:19 wib, koordinat: 2.90 ls-134.11 bt (pusat gempa berada di darat 24 km baratdaya teluk wondama) #bmkg;2022-01-03;telukwondama;;-2.90;134.11
"#gempa mag:3.7, 03-jan-2023 22:55:49wib, lok:2.53ls, 140.68bt (91 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;keerom;papua;-2.53;140.68
"#gempa mag:5.0, 03-jan-2023 22:46:18wib, lok:2.89ls, 134.18bt (16 km baratdaya telukwondama-papuabrt), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;telukwondama;papuabrt;-2.89;134.18
"#gempa mag:5.2, 03-jan-2023 22:31:35wib, lok:2.88ls, 134.21bt (12 km baratdaya telukwondama-papuabrt), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;telukwondama;papuabrt;-2.88;134.21
"#gempa mag:2.9, 03-jan-2023 22:18:36wib, lok:2.65ls, 133.84bt (58 km baratlaut telukwondama-papuabrt), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;telukwondama;papuabrt;-2.65;133.84
"#gempa mag:2.3, 03-jan-2023 21:55:42wib, lok:6.86ls, 106.96bt (7 km timurlaut kota-sukabumi-jabar), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;sukabumi;jabar;-6.86;106.96
"#gempa mag:2.4, 03-jan-2023 21:39:32wib, lok:6.76ls, 107.13bt (6 km baratlaut kab-cianjur-jabar), kedlmn:13 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;cianjur;jabar;-6.76;107.13
#gempa (update) mag:5.2, 03-jan-23 19:55:21 wib, lok:2.27 ls, 140.65 bt (pusat gempa berada di laut 33 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) iii-iv kota jayapura, iii-iv kab. jayapura #bmkg;2022-01-03;jayapura;;-2.27;140.65
#gempa dirasakan magnitudo: 5.2, kedalaman: 10 km, 03 jan 2023 19:55:21 wib, koordinat: 2.27 ls-140.65 bt (pusat gempa berada di laut 33 km timurlaut kota jayapura) #bmkg;2022-01-03;jayapura;;-2.27;140.65
"#gempa mag:3.4, 03-jan-2023 20:03:40wib, lok:2.29ls, 140.84bt (117 km timurlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;keerom;papua;-2.29;140.84
#gempa mag:5.2, 03-jan-23 19:55:21 wib, lok:2.27 ls,140.65 bt (33 km timurlaut kota-jayapura-papua), kedlmn:10 km, tdk berpotensi tsunami #bmkg;2022-01-03;jayapura;papua;-2.27;140.65
#gempa magnitudo: 5.2, kedalaman: 10 km, 03 jan 2023 19:55:21 wib, koordinat: 2.27 ls-140.65 bt (33 km timurlaut kota-jayapura-papua), tidak berpotensi tsunami #bmkg;2022-01-03;jayapura;papua;-2.27;140.65
"#gempa mag:6.0, 03-jan-2023 19:55:02wib, lok:1.76ls, 141.32bt (186 km timurlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;keerom;papua;-1.76;141.32
#gempa (update) mag:3.5, 03-jan-23 19:29:05 wib, lok:2.49 ls, 140.73 bt (pusat gempa berada di laut 18 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) ii - iii kota jayapura #bmkg;2022-01-03;jayapura;;-2.49;140.73
#gempa dirasakan magnitudo: 3.5, kedalaman: 10 km, 03 jan 2023 19:29:05 wib, koordinat: 2.49 ls-140.73 bt (pusat gempa berada di laut 18 km timurlaut kota jayapura) #bmkg;2022-01-03;jayapura;;-2.49;140.73
"#gempa mag:3.5, 03-jan-2023 19:40:01wib, lok:2.97ls, 139.89bt (4 km timurlaut kab-jayapura-papua), kedlmn:19 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;jayapura;papua;-2.97;139.89
"#gempa mag:3.4, 03-jan-2023 19:35:49wib, lok:2.50ls, 140.71bt (94 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;keerom;papua;-2.50;140.71
#gempa (update) mag:3.0, 03-jan-23 18:15:35 wib, lok:2.42 ls, 140.72 bt (pusat gempa berada di laut 20 km timur laut jayapura), kedlmn:10 km dirasakan (mmi) ii kota jayapura #bmkg;2022-01-03;jayapura;;-2.42;140.72
#gempa dirasakan magnitudo: 3.0, kedalaman: 10 km, 03 jan 2023 18:15:35 wib, koordinat: 2.42 ls-140.72 bt (pusat gempa berada di laut 20 km timur laut jayapura) #bmkg;2022-01-03;jayapura;;-2.42;140.72
"#gempa mag:3.2, 03-jan-2023 18:20:36wib, lok:2.28ls, 140.86bt (118 km timurlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;keerom;papua;-2.28;140.86
"#gempa mag:2.9, 03-jan-2023 18:15:35wib, lok:2.51ls, 140.68bt (93 km baratlaut keerom-papua), kedlmn:10 km #bmkg 
disclaimer:dlm bbrp menit pertama stlh gmp,parameter gmp dapat berubah dan boleh jadi blm akurat,kecuali tlh dianalisis ulang seismolog";2022-01-03;keerom;papua;-2.51;140.68
#gempa (update) mag:3.1, 03-jan-23 17:29:32 wib, lok:2.52 ls, 140.72 bt (pusat gempa berada di darat 13 km timurlaut kota jayapura), kedlmn:10 km dirasakan (mmi) ii kota jayapura #bmkg;2022-01-03;jayapura;;-2.52;140.72
